Jahr,Nation bisher,Kontinent bisher,Geschlecht,Altersklasse,Einbuergerungen
2012,Somalia,Afrika,W,40-59,1
2012,Eritrea,Afrika,M,20-39,3
2012,Aegypten,Afrika,W,20-39,1
2012,Argentinien,Amerika,M,40-59,2
2012,Aegypten,Afrika,M,40-59,3
2012,Bolivien,Amerika,M,20-39,1
2012,Dominikanische Republik,Amerika,W,40-59,4
2012,Kolumbien,Amerika,W,0-19,1
2012,Mexiko,Amerika,M,20-39,1
2012,USA,Amerika,M,0-19,3
2012,USA,Amerika,M,20-39,8
2012,Sri Lanka,Asien,W,40-59,16
2012,Afghanistan,Asien,W,20-39,2
2012,China,Asien,M,0-19,3
2012,Indien,Asien,M,0-19,4
2012,Indien,Asien,W,20-39,5
2012,Irak,Asien,M,0-19,17
2012,Iran,Asien,M,40-59,1
2012,Libanon,Asien,M,40-59,3
2012,Philippinen,Asien,M,0-19,1
2012,Thailand,Asien,M,60-79,1
2012,Syrien,Asien,W,40-59,2
2012,Vietnam,Asien,M,0-19,2
2012,Libanon,Asien,M,20-39,1
2012,Australien,Ozeanien,W,20-39,1
2012,Thailand,Asien,M,40-59,3
2012,Australien,Ozeanien,M,20-39,1
2012,Suedkorea,Asien,M,20-39,1
2012,Israel,Asien,W,0-19,3
2012,Kuba,Amerika,W,20-39,2
2012,Armenien,Asien,M,0-19,2
2012,Albanien,Europa,W,20-39,2
2012,Belgien,Europa,W,40-59,1
2012,Deutschland,Europa,W,0-19,56
2012,Belgien,Europa,M,20-39,1
2012,Finnland,Europa,W,20-39,1
2012,Frankreich,Europa,W,40-59,5
2012,Finnland,Europa,M,20-39,2
2012,Griechenland,Europa,M,40-59,10
2012,Griechenland,Europa,W,40-59,4
2012,Grossbritannien,Europa,W,0-19,1
2012,Grossbritannien,Europa,W,40-59,2
2012,Griechenland,Europa,W,0-19,3
2012,Italien,Europa,M,0-19,37
2012,Italien,Europa,W,0-19,39
2012,Liechtenstein,Europa,W,40-59,3
2012,Italien,Europa,M,40-59,53
2012,Niederlande,Europa,M,20-39,3
2012,Niederlande,Europa,W,40-59,1
2012,Niederlande,Europa,W,60-79,1
2012,Niederlande,Europa,W,20-39,1
2012,Oesterreich,Europa,M,60-79,4
2012,Luxemburg,Europa,M,20-39,1
2012,Luxemburg,Europa,M,40-59,1
2012,Liechtenstein,Europa,M,40-59,1
2012,Niederlande,Europa,M,60-79,1
2012,Polen,Europa,W,40-59,4
2012,Polen,Europa,W,20-39,3
2012,Italien,Europa,W,40-59,43
2012,Portugal,Europa,W,20-39,10
2012,Irland,Europa,M,40-59,1
2012,Portugal,Europa,M,0-19,14
2012,Rumaenien,Europa,M,40-59,1
2012,Rumaenien,Europa,M,20-39,2
2012,Rumaenien,Europa,M,0-19,5
2012,Grossbritannien,Europa,M,0-19,1
2012,Italien,Europa,W,20-39,22
2012,Griechenland,Europa,W,60-79,1
2012,Polen,Europa,M,60-79,2
2012,Rumaenien,Europa,W,20-39,8
2012,Schweden,Europa,W,40-59,2
2012,Schweden,Europa,W,20-39,2
2012,Griechenland,Europa,M,0-19,3
2012,Frankreich,Europa,W,60-79,2
2012,Schweden,Europa,W,0-19,3
2012,Spanien,Europa,M,60-79,6
2012,Frankreich,Europa,W,0-19,2
2012,Frankreich,Europa,M,0-19,3
2012,Finnland,Europa,W,40-59,2
2012,Spanien,Europa,W,60-79,4
2012,Spanien,Europa,W,20-39,21
2012,Schweden,Europa,M,20-39,3
2012,Tuerkei,Europa,M,20-39,19
2012,Tuerkei,Europa,W,60-79,4
2012,Tuerkei,Europa,W,40-59,22
2012,Tuerkei,Europa,W,20-39,32
2012,Deutschland,Europa,M,0-19,48
2012,Ungarn,Europa,M,60-79,1
2012,Slowakei,Europa,M,40-59,1
2012,Bulgarien,Europa,M,0-19,1
2012,Ungarn,Europa,W,40-59,2
2012,Ungarn,Europa,W,20-39,4
2012,Tuerkei,Europa,M,60-79,2
2012,Slowakei,Europa,W,20-39,7
2012,Tschechische Republik,Europa,W,40-59,2
2012,Albanien,Europa,M,0-19,4
2012,Tschechische Republik,Europa,W,20-39,4
2012,Tschechische Republik,Europa,W,0-19,4
2012,Serbien,Europa,M,60-79,5
2012,Serbien,Europa,W,60-79,7
2012,Polen,Europa,M,20-39,3
2012,Tschechische Republik,Europa,M,0-19,2
2012,Kroatien,Europa,W,60-79,4
2012,Kroatien,Europa,W,40-59,20
2012,Kroatien,Europa,W,20-39,15
2012,Bosnien und Herzegowina,Europa,M,0-19,11
2012,Bosnien und Herzegowina,Europa,W,20-39,10
2012,Bosnien und Herzegowina,Europa,W,0-19,10
2012,Bosnien und Herzegowina,Europa,M,40-59,12
2012,Kroatien,Europa,M,60-79,5
2012,Montenegro,Europa,M,0-19,2
2012,Mazedonien,Europa,M,60-79,1
2012,Mazedonien,Europa,M,40-59,9
2012,Mazedonien,Europa,M,20-39,26
2012,Kosovo,Europa,M,0-19,44
2012,Kosovo,Europa,W,0-19,41
2012,Kosovo,Europa,M,40-59,21
2012,Albanien,Europa,M,40-59,2
2012,Montenegro,Europa,W,20-39,1
2012,Kosovo,Europa,W,40-59,21
2012,Russland,Europa,M,20-39,3
2012,Russland,Europa,M,0-19,2
2012,Litauen,Europa,W,20-39,3
2012,Russland,Europa,W,40-59,5
2012,Ukraine,Europa,M,40-59,2
2012,Bulgarien,Europa,M,40-59,1
2012,Ukraine,Europa,M,20-39,2
2012,Ukraine,Europa,M,0-19,4
2012,Lettland,Europa,W,20-39,1
2012,Ukraine,Europa,W,40-59,5
2012,Aethiopien,Afrika,W,0-19,2
2012,Aethiopien,Afrika,M,40-59,2
2012,Aethiopien,Afrika,M,20-39,2
2012,Algerien,Afrika,M,20-39,1
2012,Algerien,Afrika,W,20-39,1
2012,Kroatien,Europa,M,20-39,11
2012,Belarus,Europa,W,20-39,2
2012,Elfenbeinkueste,Afrika,M,20-39,2
2012,Benin,Afrika,M,0-19,2
2012,Angola,Afrika,W,20-39,2
2012,Ghana,Afrika,M,0-19,1
2012,Ghana,Afrika,W,40-59,1
2012,Ghana,Afrika,W,20-39,1
2012,Ghana,Afrika,W,0-19,4
2012,Angola,Afrika,M,40-59,4
2012,Guinea,Afrika,W,20-39,1
2012,Kenia,Afrika,M,20-39,2
2012,Kenia,Afrika,M,0-19,3
2012,Kamerun,Afrika,W,20-39,2
2012,Kamerun,Afrika,M,20-39,2
2012,Angola,Afrika,M,0-19,4
2012,Oesterreich,Europa,W,60-79,3
2011,Sri Lanka,Asien,M,40-59,30
2011,Chinesisches Taipei,Asien,M,20-39,1
2011,Afghanistan,Asien,M,40-59,1
2011,Sri Lanka,Asien,W,40-59,21
2011,Afghanistan,Asien,W,0-19,6
2011,Venezuela,Amerika,M,40-59,1
2011,USA,Amerika,M,60-79,1
2011,Peru,Amerika,M,20-39,4
2011,Peru,Amerika,M,40-59,1
2011,Kuba,Amerika,M,40-59,4
2011,Mexiko,Amerika,M,0-19,2
2011,Kolumbien,Amerika,M,0-19,2
2011,Kuba,Amerika,W,40-59,4
2011,Kolumbien,Amerika,M,20-39,3
2011,Ecuador,Amerika,M,20-39,4
2011,Haiti,Amerika,M,20-39,1
2011,Dominikanische Republik,Amerika,M,20-39,1
2011,Dominikanische Republik,Amerika,M,40-59,1
2011,Kosovo,Europa,W,20-39,43
2011,Kosovo,Europa,M,20-39,25
2011,Mazedonien,Europa,M,40-59,6
2011,Mazedonien,Europa,W,0-19,13
2011,Bosnien und Herzegowina,Europa,W,20-39,15
2011,Bosnien und Herzegowina,Europa,W,40-59,14
2011,Bosnien und Herzegowina,Europa,M,40-59,14
2011,Slowenien,Europa,W,0-19,2
2011,Slowenien,Europa,W,20-39,1
2011,Kroatien,Europa,M,60-79,5
2011,Serbien,Europa,W,60-79,1
2011,Serbien,Europa,M,40-59,35
2011,Serbien,Europa,M,60-79,2
2011,Slowakei,Europa,W,40-59,3
2011,Tschechische Republik,Europa,M,20-39,1
2011,Slowakei,Europa,M,60-79,1
2011,Ungarn,Europa,W,20-39,3
2011,Ungarn,Europa,W,40-59,1
2011,Tuerkei,Europa,W,0-19,27
2011,Tuerkei,Europa,M,0-19,30
2011,Spanien,Europa,M,40-59,8
2011,Spanien,Europa,M,60-79,5
2011,Schweden,Europa,M,20-39,3
2011,Schweden,Europa,M,40-59,1
2011,Rumaenien,Europa,W,20-39,5
2011,Portugal,Europa,W,20-39,12
2011,Portugal,Europa,W,40-59,7
2011,Polen,Europa,W,20-39,6
2011,Polen,Europa,M,20-39,1
2011,Oesterreich,Europa,M,20-39,3
2011,Oesterreich,Europa,M,40-59,5
2011,Niederlande,Europa,M,20-39,1
2011,Niederlande,Europa,M,40-59,1
2011,Kroatien,Europa,M,40-59,9
2011,Bosnien und Herzegowina,Europa,M,20-39,10
2011,Luxemburg,Europa,M,40-59,2
2011,Liechtenstein,Europa,M,40-59,1
2011,Liechtenstein,Europa,W,0-19,1
2011,Italien,Europa,M,60-79,15
2011,Dominikanische Republik,Amerika,W,40-59,2
2011,Irland,Europa,W,20-39,1
2011,Grossbritannien,Europa,M,40-59,5
2011,Grossbritannien,Europa,W,0-19,2
2011,Griechenland,Europa,M,0-19,2
2011,Griechenland,Europa,M,20-39,5
2011,Kosovo,Europa,W,0-19,33
2011,Frankreich,Europa,W,0-19,3
2011,Finnland,Europa,W,0-19,2
2011,Finnland,Europa,W,40-59,2
2011,Russland,Europa,W,0-19,2
2011,Bulgarien,Europa,W,20-39,2
2011,Belgien,Europa,W,20-39,3
2011,Bulgarien,Europa,M,0-19,2
2011,Kroatien,Europa,M,20-39,7
2011,Algerien,Afrika,W,40-59,1
2011,Angola,Afrika,W,0-19,4
2011,Algerien,Afrika,W,20-39,1
2011,Elfenbeinkueste,Afrika,M,40-59,1
2011,Marokko,Afrika,W,0-19,3
2011,Neuseeland,Ozeanien,M,20-39,1
2011,Australien,Ozeanien,W,20-39,1
2011,Australien,Ozeanien,M,40-59,2
2011,Georgien,Asien,W,40-59,2
2011,Sudan,Afrika,M,0-19,1
2011,Bangladesch,Asien,M,40-59,3
2011,Vietnam,Asien,W,0-19,2
2011,Thailand,Asien,W,0-19,1
2011,Thailand,Asien,M,20-39,1
2011,Chile,Amerika,W,40-59,1
2011,Suedkorea,Asien,W,40-59,1
2011,Philippinen,Asien,W,0-19,1
2011,Pakistan,Asien,W,40-59,2
2011,Pakistan,Asien,W,20-39,8
2011,Pakistan,Asien,M,0-19,10
2011,Malaysia,Asien,W,40-59,1
2011,Malaysia,Asien,M,0-19,1
2011,Libanon,Asien,M,40-59,2
2011,Libanon,Asien,M,0-19,1
2011,Kambodscha,Asien,W,20-39,1
2011,Kambodscha,Asien,M,60-79,1
2011,Aegypten,Afrika,M,40-59,3
2011,Israel,Asien,M,20-39,5
2011,Iran,Asien,W,20-39,5
2011,Iran,Asien,M,20-39,2
2011,Iran,Asien,M,0-19,4
2011,Irak,Asien,M,40-59,4
2011,Eritrea,Afrika,W,0-19,1
2011,Indonesien,Asien,M,60-79,1
2011,Indien,Asien,W,0-19,3
2011,Indien,Asien,M,20-39,6
2011,Indien,Asien,M,0-19,1
2011,China,Asien,W,0-19,1
2011,China,Asien,M,40-59,1
2011,Chinesisches Taipei,Asien,W,20-39,1
2011,Sri Lanka,Asien,W,0-19,38
2011,Sri Lanka,Asien,M,0-19,50
2011,Afghanistan,Asien,W,20-39,2
2011,Afghanistan,Asien,M,0-19,1
2011,USA,Amerika,W,40-59,9
2011,USA,Amerika,W,0-19,2
2011,USA,Amerika,M,0-19,2
2011,Somalia,Afrika,M,0-19,10
2011,Peru,Amerika,W,40-59,4
2011,Peru,Amerika,W,20-39,3
2011,Peru,Amerika,W,0-19,1
2011,Nicaragua,Amerika,W,20-39,1
2011,Mexiko,Amerika,M,40-59,1
2011,Kuba,Amerika,W,0-19,1
2011,Kolumbien,Amerika,W,40-59,3
2011,Kolumbien,Amerika,W,20-39,3
2011,Kanada,Amerika,M,20-39,1
2011,Haiti,Amerika,W,20-39,2
2011,Ecuador,Amerika,W,20-39,4
2011,Dominikanische Republik,Amerika,W,20-39,8
2011,Dominikanische Republik,Amerika,W,0-19,5
2011,Brasilien,Amerika,W,0-19,4
2011,Chile,Amerika,W,0-19,1
2011,Brasilien,Amerika,W,40-59,13
2011,Brasilien,Amerika,M,40-59,5
2011,Brasilien,Amerika,M,20-39,5
2011,Bolivien,Amerika,M,60-79,1
2011,Argentinien,Amerika,M,40-59,1
2011,Argentinien,Amerika,M,0-19,1
2011,Aegypten,Afrika,M,20-39,5
2011,Uganda,Afrika,M,20-39,1
2011,Tunesien,Afrika,W,20-39,2
2011,Tunesien,Afrika,W,0-19,3
2011,Togo,Afrika,M,40-59,1
2011,Suedafrika,Afrika,M,40-59,1
2011,Somalia,Afrika,M,40-59,2
2011,Senegal,Afrika,W,0-19,1
2011,Senegal,Afrika,M,40-59,1
2011,Simbabwe,Afrika,M,0-19,1
2011,Niger,Afrika,M,20-39,1
2011,Marokko,Afrika,W,40-59,3
2011,Marokko,Afrika,M,20-39,3
2011,Libyen,Afrika,W,0-19,1
2011,Kongo (Kinshasa),Afrika,W,40-59,1
2011,Kongo (Kinshasa),Afrika,W,0-19,2
2011,Kamerun,Afrika,W,40-59,3
2011,Kamerun,Afrika,W,0-19,1
2011,Guinea,Afrika,M,20-39,1
2011,Ghana,Afrika,M,40-59,1
2011,Gambia,Afrika,W,0-19,1
2011,Gambia,Afrika,M,40-59,2
2011,Gambia,Afrika,M,20-39,3
2011,Angola,Afrika,W,40-59,2
2011,Angola,Afrika,M,40-59,1
2011,Angola,Afrika,M,20-39,1
2011,Algerien,Afrika,W,0-19,1
2011,Algerien,Afrika,M,20-39,5
2011,Algerien,Afrika,M,0-19,2
2011,Aethiopien,Afrika,W,40-59,2
2011,Aethiopien,Afrika,M,20-39,4
2011,Ukraine,Europa,W,60-79,1
2011,Ukraine,Europa,W,20-39,9
2011,Russland,Europa,W,40-59,10
2011,Russland,Europa,M,40-59,3
2011,Russland,Europa,M,20-39,4
2011,Litauen,Europa,W,40-59,1
2011,Lettland,Europa,M,0-19,2
2011,Kosovo,Europa,W,40-59,10
2011,Kosovo,Europa,M,40-59,18
2011,Kosovo,Europa,M,0-19,46
2011,Mazedonien,Europa,W,40-59,5
2011,Mazedonien,Europa,W,20-39,20
2011,Mazedonien,Europa,M,0-19,20
2011,Montenegro,Europa,W,0-19,2
2011,Bosnien und Herzegowina,Europa,W,60-79,1
2011,Bosnien und Herzegowina,Europa,M,60-79,2
2011,Bosnien und Herzegowina,Europa,M,0-19,16
2011,Slowenien,Europa,W,40-59,1
2011,Slowenien,Europa,M,40-59,1
2011,Kroatien,Europa,W,40-59,19
2011,Kroatien,Europa,W,0-19,9
2011,Kroatien,Europa,M,0-19,7
2011,Serbien,Europa,W,40-59,38
2011,Serbien,Europa,W,20-39,63
2011,Serbien,Europa,W,0-19,47
2011,Tschechische Republik,Europa,M,60-79,2
2011,Slowakei,Europa,W,0-19,1
2011,Slowakei,Europa,M,0-19,1
2011,Ungarn,Europa,W,60-79,1
2011,Ungarn,Europa,M,40-59,2
2011,Tuerkei,Europa,W,20-39,23
2011,Tuerkei,Europa,M,20-39,26
2011,Spanien,Europa,W,20-39,17
2011,Spanien,Europa,W,0-19,6
2011,Spanien,Europa,M,0-19,9
2011,Schweden,Europa,M,60-79,1
2011,Rumaenien,Europa,W,40-59,2
2011,Rumaenien,Europa,M,20-39,4
2011,Rumaenien,Europa,M,0-19,1
2011,Portugal,Europa,M,60-79,1
2011,Portugal,Europa,M,20-39,7
2011,Polen,Europa,W,40-59,6
2011,Polen,Europa,M,40-59,1
2011,Oesterreich,Europa,W,40-59,5
2011,Oesterreich,Europa,W,0-19,3
2011,Oesterreich,Europa,M,60-79,2
2011,Norwegen,Europa,M,40-59,1
2011,Niederlande,Europa,M,60-79,1
2011,Luxemburg,Europa,W,0-19,2
2011,Liechtenstein,Europa,W,40-59,1
2011,Liechtenstein,Europa,W,20-39,1
2011,Liechtenstein,Europa,M,0-19,1
2011,Italien,Europa,W,0-19,34
2011,Italien,Europa,M,0-19,15
2011,Grossbritannien,Europa,W,40-59,6
2011,Grossbritannien,Europa,W,20-39,1
2011,Griechenland,Europa,M,40-59,2
2011,Frankreich,Europa,W,20-39,6
2011,Frankreich,Europa,M,20-39,2
2011,Frankreich,Europa,M,0-19,5
2011,Deutschland,Europa,W,60-79,20
2011,Deutschland,Europa,W,20-39,57
2011,Deutschland,Europa,M,60-79,15
2011,Bulgarien,Europa,W,40-59,2
2011,Bulgarien,Europa,W,0-19,2
2011,Bulgarien,Europa,M,40-59,2
2011,Bulgarien,Europa,M,20-39,3
2011,Albanien,Europa,M,20-39,1
2011,Israel,Asien,W,40-59,1
2011,Costa Rica,Amerika,W,40-59,1
2011,Albanien,Europa,W,40-59,2
2011,Deutschland,Europa,M,0-19,33
2011,Belgien,Europa,M,20-39,2
2011,Deutschland,Europa,M,20-39,51
2011,Frankreich,Europa,M,40-59,4
2011,Griechenland,Europa,W,20-39,2
2011,Grossbritannien,Europa,M,0-19,1
2011,Irland,Europa,M,40-59,1
2011,Italien,Europa,M,40-59,40
2011,Italien,Europa,W,40-59,23
2011,Luxemburg,Europa,M,20-39,1
2011,Niederlande,Europa,W,20-39,2
2011,Kuba,Amerika,M,20-39,2
2011,USA,Amerika,M,20-39,5
2011,USA,Amerika,M,40-59,5
2011,Sri Lanka,Asien,M,20-39,13
2011,Indien,Asien,M,40-59,1
2011,Polen,Europa,M,60-79,1
2011,Mexiko,Amerika,W,40-59,1
2011,Indien,Asien,W,60-79,1
2011,Irak,Asien,M,0-19,10
2011,Iran,Asien,M,40-59,7
2011,Israel,Asien,W,0-19,5
2011,Libanon,Asien,W,0-19,1
2011,Libanon,Asien,W,20-39,4
2011,Philippinen,Asien,M,20-39,1
2011,Syrien,Asien,M,20-39,1
2011,Syrien,Asien,W,0-19,4
2011,Bangladesch,Asien,W,20-39,5
2011,Bangladesch,Asien,M,0-19,6
2011,Fidschi,Ozeanien,W,40-59,1
2011,Polen,Europa,W,0-19,4
2011,Jamaika,Amerika,M,20-39,1
2011,Thailand,Asien,W,20-39,15
2011,Schweden,Europa,W,20-39,1
2011,Spanien,Europa,W,40-59,18
2011,Rumaenien,Europa,M,40-59,1
2011,Tuerkei,Europa,M,60-79,2
2011,Ungarn,Europa,M,0-19,1
2011,Tschechische Republik,Europa,W,20-39,2
2011,Slowakei,Europa,M,40-59,1
2011,Serbien,Europa,M,0-19,63
2011,Albanien,Europa,W,20-39,1
2011,Guatemala,Amerika,W,20-39,1
2011,Belgien,Europa,M,40-59,2
2011,Belgien,Europa,M,0-19,2
2011,Deutschland,Europa,W,80-99,1
2011,Frankreich,Europa,W,40-59,2
2011,Deutschland,Europa,W,40-59,89
2011,Griechenland,Europa,W,0-19,2
2011,Grossbritannien,Europa,M,20-39,7
2011,Italien,Europa,M,20-39,51
2011,Griechenland,Europa,W,40-59,2
2011,Italien,Europa,W,20-39,33
2011,Liechtenstein,Europa,M,20-39,4
2011,Luxemburg,Europa,W,20-39,2
2011,Italien,Europa,W,60-79,7
2011,Niederlande,Europa,W,0-19,2
2011,Oesterreich,Europa,M,0-19,1
2011,Deutschland,Europa,W,0-19,32
2011,Niederlande,Europa,W,60-79,1
2011,Portugal,Europa,W,0-19,28
2011,Schweden,Europa,M,0-19,2
2011,Portugal,Europa,M,40-59,11
2011,Schweden,Europa,W,0-19,1
2011,Spanien,Europa,M,20-39,18
2011,Tuerkei,Europa,M,40-59,18
2011,Schweden,Europa,W,60-79,2
2011,Tuerkei,Europa,W,40-59,12
2011,Ungarn,Europa,W,0-19,1
2011,Slowakei,Europa,W,20-39,6
2011,Ungarn,Europa,M,20-39,1
2011,Tschechische Republik,Europa,W,0-19,2
2011,Serbien,Europa,M,20-39,52
2011,Portugal,Europa,M,0-19,15
2011,Tschechische Republik,Europa,W,40-59,1
2011,Slowenien,Europa,M,60-79,1
2011,Bosnien und Herzegowina,Europa,W,0-19,10
2011,Kroatien,Europa,W,60-79,1
2011,Montenegro,Europa,M,40-59,3
2011,Mazedonien,Europa,M,20-39,14
2011,Kosovo,Europa,M,60-79,2
2011,Montenegro,Europa,W,20-39,1
2011,Kosovo,Europa,W,60-79,1
2011,Moldova,Europa,M,0-19,1
2011,Ukraine,Europa,M,0-19,2
2011,Lettland,Europa,W,20-39,3
2011,Ukraine,Europa,W,40-59,4
2011,Aethiopien,Afrika,M,60-79,1
2011,Kroatien,Europa,W,20-39,14
2011,Belarus,Europa,W,20-39,1
2011,Elfenbeinkueste,Afrika,M,20-39,1
2011,Ghana,Afrika,W,0-19,3
2011,Angola,Afrika,W,20-39,1
2011,Kamerun,Afrika,M,20-39,4
2011,Kenia,Afrika,M,20-39,1
2011,Marokko,Afrika,M,40-59,1
2011,Kamerun,Afrika,W,20-39,3
2011,Mosambik,Afrika,W,20-39,1
2011,Simbabwe,Afrika,W,0-19,1
2011,Somalia,Afrika,W,0-19,9
2011,Nigeria,Afrika,M,20-39,5
2011,Suedafrika,Afrika,W,40-59,1
2011,Tunesien,Afrika,M,0-19,4
2011,Deutschland,Europa,M,40-59,116
2011,Sudan,Afrika,M,40-59,1
2011,Bolivien,Amerika,W,0-19,1
2011,Chile,Amerika,M,0-19,2
2011,Argentinien,Amerika,W,40-59,1
2011,Chile,Amerika,W,20-39,1
2011,Dominikanische Republik,Amerika,M,0-19,4
2011,Ecuador,Amerika,W,40-59,4
2011,Costa Rica,Amerika,M,20-39,3
2011,Jamaika,Amerika,M,0-19,1
2011,Kanada,Amerika,W,40-59,1
2011,Kuba,Amerika,W,20-39,1
2011,Jamaika,Amerika,W,20-39,1
2011,Mexiko,Amerika,W,20-39,4
2011,Paraguay,Amerika,M,40-59,1
2011,Argentinien,Amerika,M,20-39,2
2011,Nicaragua,Amerika,M,0-19,1
2011,Afghanistan,Asien,M,20-39,5
2011,Sri Lanka,Asien,W,20-39,32
2011,Antigua und Barbuda,Amerika,M,40-59,1
2011,China,Asien,M,20-39,3
2011,China,Asien,W,20-39,10
2011,Indien,Asien,W,20-39,4
2011,China,Asien,M,80-99,1
2011,Indonesien,Asien,W,60-79,1
2011,Irak,Asien,W,0-19,5
2011,Iran,Asien,W,40-59,6
2011,Irak,Asien,M,20-39,3
2011,Israel,Asien,M,40-59,1
2011,Israel,Asien,W,60-79,1
2011,USA,Amerika,W,20-39,5
2011,Israel,Asien,W,20-39,6
2011,Pakistan,Asien,M,20-39,4
2011,Philippinen,Asien,W,20-39,6
2011,Malediven,Asien,M,20-39,1
2011,Syrien,Asien,M,0-19,3
2011,Syrien,Asien,W,20-39,2
2011,Vietnam,Asien,W,20-39,3
2011,Syrien,Asien,M,40-59,1
2011,Bangladesch,Asien,W,0-19,4
2011,Kasachstan,Asien,W,20-39,1
2011,Neuseeland,Ozeanien,M,40-59,1
2011,Armenien,Asien,W,20-39,1
2011,Malaysia,Asien,W,0-19,1
2011,Eritrea,Afrika,W,20-39,1
2011,Neuseeland,Ozeanien,M,0-19,1
2011,Tadschikistan,Asien,M,0-19,1
2011,Tadschikistan,Asien,W,40-59,1
2011,Bangladesch,Asien,M,20-39,4
2011,Thailand,Asien,W,40-59,7
2011,Syrien,Asien,W,40-59,1
2011,Thailand,Asien,M,0-19,1
2011,Philippinen,Asien,W,40-59,2
2011,Suedkorea,Asien,W,20-39,1
2011,Philippinen,Asien,M,40-59,3
2011,Pakistan,Asien,M,40-59,8
2011,Pakistan,Asien,W,0-19,6
2011,Libanon,Asien,W,40-59,1
2011,Libanon,Asien,M,20-39,6
2011,Japan,Asien,M,20-39,1
2011,Japan,Asien,W,20-39,1
2011,Iran,Asien,W,60-79,1
2011,Israel,Asien,M,0-19,3
2011,Iran,Asien,W,0-19,6
2011,Irak,Asien,W,20-39,6
2011,Irak,Asien,W,40-59,1
2011,Indonesien,Asien,M,20-39,3
2011,Indien,Asien,M,60-79,1
2011,China,Asien,W,40-59,2
2011,China,Asien,W,60-79,1
2011,Chile,Amerika,M,20-39,2
2011,Brasilien,Amerika,W,20-39,25
2011,Bolivien,Amerika,W,20-39,3
2011,Brasilien,Amerika,M,0-19,2
2011,Chile,Amerika,M,60-79,1
2011,Aegypten,Afrika,M,0-19,1
2011,Tunesien,Afrika,M,20-39,5
2011,Tunesien,Afrika,M,40-59,2
2011,Somalia,Afrika,W,20-39,3
2011,Somalia,Afrika,M,20-39,7
2011,Simbabwe,Afrika,W,40-59,1
2011,Senegal,Afrika,M,20-39,2
2011,Somalia,Afrika,W,40-59,2
2011,Madagaskar,Afrika,M,20-39,1
2011,Kenia,Afrika,W,20-39,1
2011,Kongo (Brazzaville),Afrika,M,20-39,1
2011,Marokko,Afrika,W,20-39,6
2011,Ghana,Afrika,W,20-39,1
2011,Ghana,Afrika,M,0-19,3
2011,Gambia,Afrika,M,0-19,1
2011,Ghana,Afrika,W,40-59,3
2011,Algerien,Afrika,M,40-59,3
2011,Aethiopien,Afrika,W,0-19,3
2011,Aethiopien,Afrika,W,20-39,1
2011,Angola,Afrika,M,0-19,7
2011,Ukraine,Europa,M,20-39,4
2011,Russland,Europa,W,20-39,16
2011,Moldova,Europa,W,20-39,2
2011,Russland,Europa,M,0-19,2
2011,Ukraine,Europa,W,0-19,2
2010,Staatenlos,Unzuteilbar,M,0-19,1
2010,Staat unbekannt,Unzuteilbar,W,0-19,1
2010,Armenien,Asien,M,20-39,1
2010,Bangladesch,Asien,M,20-39,4
2010,Bangladesch,Asien,M,40-59,8
2010,Thailand,Asien,W,20-39,13
2010,Thailand,Asien,M,0-19,7
2010,Philippinen,Asien,W,20-39,5
2010,Philippinen,Asien,W,40-59,10
2010,Pakistan,Asien,M,20-39,4
2010,Pakistan,Asien,M,40-59,19
2010,Malaysia,Asien,M,0-19,2
2010,Libanon,Asien,M,20-39,1
2010,Libanon,Asien,M,40-59,4
2010,Japan,Asien,W,20-39,1
2010,Israel,Asien,M,40-59,4
2010,Iran,Asien,W,0-19,1
2010,Iran,Asien,W,20-39,5
2010,Irak,Asien,M,20-39,10
2010,Irak,Asien,M,40-59,8
2010,Indien,Asien,W,40-59,3
2010,Indien,Asien,M,20-39,2
2010,Indien,Asien,M,40-59,4
2010,China,Asien,M,0-19,2
2010,Sri Lanka,Asien,W,20-39,53
2010,Sri Lanka,Asien,M,0-19,99
2010,Sri Lanka,Asien,M,20-39,37
2010,Afghanistan,Asien,M,0-19,2
2010,Afghanistan,Asien,M,20-39,6
2010,USA,Amerika,W,20-39,2
2010,USA,Amerika,M,0-19,5
2010,USA,Amerika,M,20-39,4
2010,Uruguay,Amerika,M,0-19,1
2010,Peru,Amerika,W,0-19,1
2010,Paraguay,Amerika,M,20-39,1
2010,Paraguay,Amerika,M,40-59,1
2010,Kuba,Amerika,W,0-19,1
2010,Kuba,Amerika,W,20-39,3
2010,Kolumbien,Amerika,W,40-59,4
2010,Kolumbien,Amerika,M,0-19,1
2010,Kolumbien,Amerika,M,20-39,2
2010,Jamaika,Amerika,W,0-19,2
2010,Haiti,Amerika,W,20-39,1
2010,El Salvador,Amerika,W,20-39,1
2010,Guatemala,Amerika,M,20-39,1
2010,Albanien,Europa,W,20-39,1
2010,Dominikanische Republik,Amerika,W,20-39,5
2010,Dominikanische Republik,Amerika,W,40-59,5
2010,Bulgarien,Europa,W,20-39,4
2010,Belgien,Europa,M,60-79,1
2010,Dominikanische Republik,Amerika,M,20-39,6
2010,Deutschland,Europa,W,0-19,61
2010,Chile,Amerika,M,60-79,1
2010,Chile,Amerika,W,0-19,1
2010,Finnland,Europa,W,60-79,1
2010,Finnland,Europa,M,60-79,1
2010,Griechenland,Europa,M,40-59,6
2010,Brasilien,Amerika,W,0-19,7
2010,Grossbritannien,Europa,M,60-79,1
